Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
sarahg avllit;asheville, caroline du nord;18;25;50;july 9 2019;they ve thought of everything;july 2019
brad v;janesville, wisconsin;58;32;50;july 9 2019;wow;july 2019
victoria p;carefree, arizona;768;275;50;july 8 2019;beautiful sights;july 2019
cmkny;westchester county, etat de new york;366;182;50;july 8 2019;don t miss this;july 2019
greg b;rockford, united states;110;44;40;july 8 2019;good but crowded;june 2019
carpenterbillneilsen;manteca, californie;54;26;50;july 8 2019;resting stop between hikes;july 2019
zoomie70;las vegas;162;98;50;july 7 2019;spectacular;june 2019
chuckiee63;raytown, missouri;23;50;30;july 7 2019;stunning view;june 2019
87debrab;san diego, californie;61;49;50;july 6 2019;the south rim;june 2019
paul g;tucson, arizona;1179;587;50;july 6 2019;another exceptional visit;june 2019
melimiel;le cap, afrique du sud;27;28;50;july 6 2019;best experience ever, dream come true;august 2018
limeyjd;jacksonville, floride;180;183;50;july 6 2019;what a view;july 2019
molbiomom;san mateo, ca;17;17;50;july 6 2019;wow what a view;july 2019
jphauck;dallas, texas;108;44;50;july 6 2019;4th at canyon;july 2019
fittinginadventure;las vegas, nevada;58;89;50;july 5 2019;sure to be a favorite spot;june 2019
albertvaartjes;beilen, pays bas;3;6;50;july 5 2019;grand canyon;july 2019
susie g;anderson, caroline du sud;302;90;50;july 4 2019;beautiful, amazing;may 2019
mdower2017;deadwood, dakota du sud;6;7;50;july 4 2019;breathtaking;june 2019
doccullen;chattanooga, tennessee;23;35;50;july 4 2019;be prepared  it snowed;june 2019
azdeat;phoenix, arizona;180;128;50;july 3 2019;magnificent place;june 2019
swedenman;stockholm, suede;35;49;50;july 3 2019;the best wiew on grand canyon;june 2019
kathleensf3340uv;null;95;99;50;july 3 2019;amazing;july 2019
ola_43;london;5;5;50;july 3 2019;must see;august 2018
bigalwestvirginia;salem, virginie occidentale;107;209;50;july 3 2019;breath taking........;july 2019
bob10590;kerrville, texas;455;259;50;july 3 2019;spectacular;july 2019
624julianc;southampton, royaume uni;7;9;50;july 3 2019;grand canyon;july 2019
derik l;los angeles, californie;128;43;50;july 3 2019;breath taking views and very conveniently set up.;july 2019
garywc7466tt;springfield, illinois;26;26;50;july 3 2019;despite the fact several people have died at the canyon......;june 2019
charissa1022;nashville, tennessee;41;60;50;july 3 2019;epic views and so much to do;may 2019
kim p;rockingham, caroline du nord;36;28;50;july 3 2019;what a great vacation;june 2019
njmike2016;new jersey;18;22;50;july 2 2019;why didn t i do this sooner;june 2019
